GT Motorsports,C,United States,Atlanta,Georgia Tech,http://gtms.gatech.edu
UPB Drive,C,Romania,Bucharest,University Politehnica Of Bucharest,http://upbdrive.com
Formula Student Team Delft Driverless,D,Netherlands,Delft,TU Delft,https://www.fsteamdelft.nl/driverless
Riteh Racing Team,C,Croatia,Rijeka,University of Rijeka,http://ritehracingteam.uniri.hr/
Team Spark,E,Iceland,Reykjavík,University of Iceland,http://www.teamspark.is
MAC Formula Electric,E,Canada,Hamilton,McMaster University,http://macformularacing.com
Waterloo Autonomous Racing,D,Canada,Waterloo,University of Waterloo,-
Dynamics e.V. Driverless,D,Germany,Regensburg,OTH Regensburg,-
RMIT Electric Racing,E,Australia,Melbourne,RMIT University,http://www.rmitelectricracing.com
Monash Motorsport,D,Australia,Melbourne,Monash University,http://monashmotorsport.com
